id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01KC792Q82X2T1YA3GQS9WQQTM,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T17:59:26.210578703Z,all games finished,2025-12-11T18:12:43.871948509Z,true,2025-12-11T17:59:26.222463471Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T17:59:26.210578703Z,ended,2025-12-11T18:12:43.871948509Z
01KC792QXFDTTSEYSKJSE46MFT,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T17:59:26.8955834Z,all games finished,2025-12-11T18:12:02.684432429Z,true,2025-12-11T17:59:26.917187267Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T17:59:26.8955834Z,ended,2025-12-11T18:12:02.684432429Z
01KC79VK7TM02CNZ35QA1DJMGE,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T18:13:01.306355944Z,all games finished,2025-12-11T18:29:41.791005369Z,true,2025-12-11T18:13:01.690293133Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T18:13:01.306355944Z,ended,2025-12-11T18:29:41.791005369Z
01KC79XM5Z2Y1HFSXWP6FXXT3K,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T18:14:07.807915818Z,,,true,2025-12-11T18:14:07.942436972Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T18:14:07.807915818Z,terminated,2025-12-11T18:54:41.316076287Z
01KC79XMP9ZRXHV57D7Q7QP32B,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T18:14:08.32976839Z,,,true,2025-12-11T18:14:08.391018441Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T18:14:08.32976839Z,terminated,2025-12-11T18:54:48.165187171Z
01KC792NZQW5MQZPSHSTMQ5DHE,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T17:59:24.919290106Z,all games finished,2025-12-11T18:13:03.195842515Z,true,2025-12-11T17:59:24.930078193Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T17:59:24.919290106Z,ended,2025-12-11T18:13:03.195842515Z
01KC792S5XKA02FKX43NFPRQY2,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T17:59:28.189206441Z,all games finished,2025-12-11T18:10:36.901706439Z,true,2025-12-11T17:59:28.200534156Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T17:59:28.189206441Z,ended,2025-12-11T18:10:36.901706439Z
01KC7A5FYZS2Q9F3XPGV8ARCHP,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T18:18:25.6317447Z,,,true,2025-12-11T18:18:25.723196115Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T18:18:25.6317447Z,created,2025-12-11T18:18:25.6317447Z
01KC7ADVVXQ1KVX9X5B6KPVPGZ,"{""kind"":""custom"",""config"":{""treatments"":[{""name"":""Control"",""games"":30,""parameters"":{""difficulty"":""easy""}},{""name"":""Experimental_1"",""games"":40,""parameters"":{""difficulty"":""medium""}},{""name"":""Experimental_2"",""games"":30,""parameters"":{""difficulty"":""hard""}}],""randomize"":true}}",2025-12-11T18:22:59.965261577Z,,,true,2025-12-11T18:23:00.050755166Z,,,terminated,2025-12-11T18:23:51.596172262Z
01KC792PXGTWWGJ3W8WN91YRG2,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T17:59:25.873032998Z,,,true,2025-12-11T17:59:25.881286227Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T17:59:25.873032998Z,terminated,2025-12-11T18:17:27.08971007Z
01KC792QK3NQ9YQBMVC4J2ZJYJ,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T17:59:26.563385707Z,,,true,2025-12-11T17:59:26.573005929Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T17:59:26.563385707Z,terminated,2025-12-11T18:17:30.243173348Z
01KC792RZXSW2VJJ9MYY3HWKT7,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T17:59:27.997118989Z,all games finished,2025-12-11T18:11:06.169601486Z,true,2025-12-11T17:59:28.007983064Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T17:59:27.997118989Z,ended,2025-12-11T18:11:06.169601486Z
01KC79Q9731QPJ5QS5ZM23RYR5,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T18:10:39.971528358Z,,,true,2025-12-11T18:10:40.051292855Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T18:10:39.971528358Z,terminated,2025-12-11T18:17:27.996451583Z
01KC79VJKE866YDMKWKSSCRSG8,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T18:13:00.654425242Z,all games finished,2025-12-11T18:32:32.699346902Z,true,2025-12-11T18:13:01.058035487Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T18:13:00.654425242Z,ended,2025-12-11T18:32:32.699346902Z
01KC792NHQWGSTE39SGFFP76GE,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T17:59:24.471465427Z,all games finished,2025-12-11T18:13:40.961020117Z,true,2025-12-11T17:59:24.486089268Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T17:59:24.471465427Z,ended,2025-12-11T18:13:40.961020117Z
01KC792PFK3W14G4ZFE0JVZG1C,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T17:59:25.427230346Z,all games finished,2025-12-11T18:12:11.701675496Z,true,2025-12-11T17:59:25.438338644Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T17:59:25.427230346Z,ended,2025-12-11T18:12:11.701675496Z
01KC792R3GAQ93Y2KWRDZ6PHKT,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T17:59:27.088793084Z,all games finished,2025-12-11T18:16:27.819518994Z,true,2025-12-11T17:59:27.102389955Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T17:59:27.088793084Z,ended,2025-12-11T18:16:27.819518994Z
01KC79VH8D3XDVE6Y37QAVSJQX,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T18:12:59.277074085Z,all games finished,2025-12-11T18:22:11.986604994Z,true,2025-12-11T18:12:59.377140839Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T18:12:59.277074085Z,ended,2025-12-11T18:22:11.986604994Z
01KC792RSWBXR1CBEJH052NEY8,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T17:59:27.804964832Z,all games finished,2025-12-11T18:06:29.644931931Z,true,2025-12-11T17:59:27.821277724Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T17:59:27.804964832Z,ended,2025-12-11T18:06:29.644931931Z
01KC79VHM39RKDQ5AVAA0Z0XN2,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T18:12:59.651102535Z,all games finished,2025-12-11T18:20:29.737583659Z,true,2025-12-11T18:12:59.757479456Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T18:12:59.651102535Z,ended,2025-12-11T18:20:29.737583659Z
01KC79XSC392MAE0GHH7EKZA0M,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T18:14:13.123197947Z,,,true,2025-12-11T18:14:13.183368755Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T18:14:13.123197947Z,terminated,2025-12-11T18:54:45.442224615Z
01KC792Q2KDA3A5X63Y7FG3Z7J,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T17:59:26.035299992Z,all games finished,2025-12-11T18:12:43.893749792Z,true,2025-12-11T17:59:26.045623079Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T17:59:26.035299992Z,ended,2025-12-11T18:12:43.893749792Z
01KC7AF226BP9D6YXN6RV6AS34,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T18:23:39.078213151Z,,,true,2025-12-11T18:23:39.198035328Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T18:23:39.078213151Z,created,2025-12-11T18:23:39.078213151Z
01KC792P4XAE965E30E0MR6EDR,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T17:59:25.085248166Z,all games finished,2025-12-11T18:14:14.297537923Z,true,2025-12-11T17:59:25.097724028Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T17:59:25.085248166Z,ended,2025-12-11T18:14:14.297537923Z
01KC79VHE8PE9MZRMG71GAT5MW,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T18:12:59.464624272Z,all games finished,2025-12-11T18:21:31.468927132Z,true,2025-12-11T18:12:59.694517907Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T18:12:59.464624272Z,ended,2025-12-11T18:21:31.468927132Z
01KC79VJXXPSPD2VWHGZ052C31,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T18:13:00.989469511Z,all games finished,2025-12-11T18:31:01.412862678Z,true,2025-12-11T18:13:01.273704576Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T18:13:00.989469511Z,ended,2025-12-11T18:31:01.412862678Z
01KC79XM52N2Y2WWX0RMTZXFSE,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T18:14:07.778362456Z,,,true,2025-12-11T18:14:07.870490062Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T18:14:07.778362456Z,running,2025-12-11T18:14:35.699873575Z
01KC792QR6XXN61ZXWP8M9MPK8,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""baseline"",""desc"":""baseline"",""factors"":{""chatEnabled"":false,""numRounds"":13,""playerCount"":2}},""count"":1}]}}",2025-12-11T17:59:26.726176449Z,all games finished,2025-12-11T18:16:07.674178087Z,true,2025-12-11T17:59:26.737519818Z,"{""name"":""Default shared fail"",""kind"":""shared"",""duration"":300000000000,""strategy"":""fail""}",2025-12-11T17:59:26.726176449Z,ended,2025-12-11T18:16:07.674178087Z
